bbl,subsidized_today
1018700045,274
1018700056,31
1018700060,68
1018707501,1
1018707502,10
1018707503,9
1018710001,50
1018710010,62
1018710020,10
1018710061,32
1018717501,0
1018717502,0
1018720007,1
1018720008,1
1018720019,4
1018720043,324
1018720052,7
1018720060,5
1018720061,110
1018720108,2
1018720157,4
1018730001,10
1018730010,12
1018730020,24
1018730029,5
1018730030,5
1018730031,41
1018730034,1
1018730035,6
1018730036,3
1018730037,11
1018730039,48
1018730041,12
1018730042,70
1018730052,2
1018730058,2
1018730059,5
1018730061,2
1018730062,2
1018730106,2
1018730162,4
1018740001,3
1018740002,2
1018740004,1
1018740006,1
1018740022,12
1018740024,6
1018740025,34
1018740027,3
1018740052,0
1018740064,6
1018740105,3
1018740156,6
1018747501,33
1018750001,41
1018750010,29
1018750026,2
1018750029,22
1018750036,28
1018750037,1
1018750039,2
1018750040,10
1018750041,10
1018750042,1
1018750043,8
1018750053,10
1018750056,2
1018750058,15
1018750139,3
1018750146,5
1018760001,52
1018760007,8
1018760012,10
1018760030,0
1018760032,1
1018760033,1
1018760034,0
1018760035,0
1018760036,0
1018760037,0
1018760039,0
1018760058,6
1018760060,4
1018760061,166
1018760134,0
1018760135,0
1018767501,10
1018770018,72
1018770022,23
1018770025,4
1018770028,22
1018770031,6
1018770032,5
1018770033,7
1018770034,6
1018770035,5
1018770036,8
1018770037,22
1018770039,36
1018770048,4
1018770049,4
1018770052,1
1018770061,32
1018780012,82
1018780017,5
1018780019,2
1018780020,4
1018780021,29
1018780025,32
1018780029,6
1018780030,3
1018780031,8
1018780033,9
1018780036,8
1018780037,26
1018780042,23
1018780047,25
1018780052,25
1018790011,5
1018790013,103
1018790015,6
1018790021,6
1018790023,7
1018790024,24
1018790026,1
1018790027,18
1018790029,9
1018790031,10
1018790036,30
1018790037,11
1018790041,0
1018790043,28
1018790049,8
1018790051,10
1018790056,2
1018790061,3
1018790136,10
1018797501,0
1018797502,0
1018800001,3
1018800007,4
1018800010,0
1018800021,9
1018800023,9
1018800025,3
1018800027,8
1018800029,20
1018800037,7
1018800039,3
1018800040,2
1018800042,7
1018800044,4
1018800053,6
1018800055,50
1018807501,4
1018810001,5
1018810006,2
1018810007,6
1018810008,4
1018810009,3
1018810010,5
1018810011,1
1018810012,6
1018810015,6
1018810017,15
1018810019,6
1018810022,8
1018810024,5
1018810025,5
1018810026,6
1018810027,3
1018810028,3
1018810029,24
1018810032,22
1018810035,1
1018817501,11
1018817502,4
1018817503,16
1018870001,0
1018870003,9
1018870015,4
1018870016,2
1018870019,9
1018870022,1
1018870036,6
1018870040,33
1018870045,5
1018870047,1
1018870048,194
1018870058,22
1018870061,2
1018870065,2
1018877501,40
1018880001,52
1018880007,25
1018880015,29
1018880025,1
1018880031,12
1018880036,11
1018880043,27
1018880053,9
1018880063,11
1018880067,10
1018880076,2
1018880087,30
1018887501,2
1018887502,7
1018887503,32
1018890001,46
1018890008,15
1018890009,8
1018890011,3
1018890012,2
1018890013,6
1018890014,1
1018890022,8
1018890025,9
1018890026,3
1018890027,10
1018890031,1
1018890032,3
1018890040,26
1018890043,3
1018890046,23
1018890060,10
1018890061,2
1018890063,3
1018890069,2
1018890072,6
1018890076,10
1018890110,3
1018890126,1
1018890128,1
1018897501,5
1018900001,2
1018900007,18
1018900015,32
1018900036,26
1018900040,10
1018900045,2
1018900047,2
1018900048,3
1018900063,5
1018900064,11
1018900068,3
1018900069,3
1018900070,1
1018900072,2
1018900073,5
1018900151,3
1018910011,2
1018910026,54
1018910027,7
1018910028,3
1018910029,5
1018910031,3
1018910032,2
1018910033,2
1018910034,4
1018910035,3
1018910043,7
1018910044,3
1018910045,5
1018910046,6
1018910047,5
1018910048,3
1018910049,4
1018910052,2
1018910054,21
1018910055,8
1018910057,44
1018910065,10
1018910066,4
1018910068,11
1018910070,4
1018910127,2
1018910159,7
1018917502,19
1018920001,1
1018920005,6
1018920010,16
1018920011,11
1018920012,12
1018920013,47
1018920016,22
1018920019,18
1018920022,3
1018920023,3
1018920024,5
1018920026,1
1018920027,2
1018920032,10
1018920039,4
1018920042,2
1018920045,6
1018920046,19
1018920049,2
1018920057,15
1018920058,1
1018920062,1
1018920063,1
1018920064,1
1018920121,3
1018920141,4
1018920144,5
1018930009,4
1018930011,13
1018930012,8
1018930021,3
1018930022,9
1018930023,2
1018930024,3
1018930035,3
1018930039,39
1018937501,16
1018937502,8
