bbl,subsidized_today
1011460160,1
1011467501,7
1011467504,1
1011470006,2
1011470007,2
1011470008,5
1011470009,10
1011470010,10
1011470011,9
1011470012,1
1011470013,10
1011470014,1
1011470015,4
1011470017,1
1011470018,1
1011470021,6
1011470022,7
1011470023,2
1011470024,3
1011470026,1
1011470027,5
1011470028,4
1011470029,20
1011470030,12
1011470033,1
1011470034,2
1011470036,1
1011470040,2
1011470047,2
1011470050,1
1011470051,4
1011470052,3
1011470053,2
1011470054,1
1011470055,1
1011470107,2
1011470111,5
1011470115,2
1011470121,1
1011470150,2
1011477501,9
1011480001,33
1011480006,3
1011480007,4
1011480010,1
1011480011,1
1011480012,2
1011480055,2
1011480056,6
1011480059,30
1011480060,28
1011480061,4
1011480062,1
1011480064,1
1011480107,7
1011480110,6
1011480112,10
1011480160,22
1011490017,4
1011490023,7
1011490026,1
1011490027,4
1011490030,3
1011490031,5
1011490033,13
1011490042,9
1011490044,1
1011490061,4
1011497501,2
1011500001,63
1011500010,3
1011500011,4
1011500013,1
1011500017,3
1011500021,1
1011500024,8
1011500034,1
1011500035,6
1011500037,6
1011500041,20
1011500048,10
1011500051,1
1011500112,1
1011500121,7
1011507504,50
1011517502,0
1011517503,0
1011520013,600
1011520056,1
1011527502,0
1011540156,28
1011540158,22
1011540160,18
1011540162,22
1011560001,0
1011560020,0
1011580012,472
1011580033,90
1011580038,66
1011587501,24
1011587502,26
1011587503,28
1011587504,27
1011587505,27
1011587506,0
1011587507,0
1011620001,1
1011620005,10
1011620008,4
1011620009,2
1011620010,2
1011620016,3
1011620023,1
1011620024,2
1011620026,1
1011620029,1
1011620040,6
1011620046,22
1011620050,8
1011620051,2
1011620056,1
1011620061,2
1011620107,3
1011620109,2
1011620124,1
1011620141,12
1011620157,6
1011620161,14
1011627501,29
1011630001,9
1011630011,2
1011630020,8
1011630024,2
1011630043,7
1011630045,2
1011630046,1
1011630047,6
1011630048,4
1011630049,2
1011630051,7
1011630052,2
1011630053,12
1011630056,7
1011630058,5
1011630061,3
1011630114,3
1011630144,2
1011637502,3
1011637503,392
1011640001,7
1011640002,2
1011640004,1
1011640005,83
1011640011,8
1011640013,14
1011640014,3
1011640016,1
1011640047,65
1011640050,3
1011640051,11
1011640053,9
1011640054,7
1011640055,7
1011640056,10
1011640057,1
1011640058,3
1011640059,9
1011640060,4
1011640153,6
1011640157,3
1011640159,9
1011650001,1
1011650002,2
1011650003,1
1011650005,4
1011650052,2
1011650056,9
1011650059,5
1011650103,1
1011650104,3
1011650105,1
1011650153,5
1011657502,1
1011657503,56
1011660006,6
1011660007,5
1011660014,1
1011660035,319
1011660045,4
1011660061,5
1011660154,1
1011670007,12
1011670010,2
1011670058,5
1011670059,17
1011670104,18
1011677501,15
1011677502,0
1011680001,6
1011680002,2
1011680004,4
1011680005,1
1011680007,8
1011680010,17
1011680029,1
1011680058,10
1011680060,1
1011680061,5
1011680104,4
1011680107,3
1011680161,4
